name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Washington Wizards,Verizon Center,82,19930,3048,6888,0.443,392,1182,0.332,2656,5706,0.465,1489,1999,0.745,1013,2374,3387,1592,665,502,1258,1850,7977,2010/2011,58324988,3240277.11,3.43,25.91,,0,0
Miami Heat,AmericanAirlines Arena,82,19780,3031,6301,0.481,547,1479,0.37,2484,4822,0.515,1760,2288,0.769,790,2666,3456,1639,544,430,1142,1674,8369,2010/2011,66205855,3678103.06,8.65,30.29,,1,0
New York Knicks,Madison Square Garden (IV),82,19780,3140,6867,0.457,765,2081,0.368,2375,4786,0.496,1689,2087,0.809,847,2470,3317,1757,625,475,1123,1743,8734,2010/2011,67016562,4467770.8,4.25,25.95,,0,0
San Antonio Spurs,AT&T Center,82,19780,3148,6628,0.475,685,1727,0.397,2463,4901,0.503,1521,1984,0.767,829,2603,3432,1836,602,372,1101,1556,8502,2010/2011,69522311,3659069,4.4,27.45,,0,0
New Orleans Hornets,New Orleans Arena,82,19830,2944,6416,0.459,444,1232,0.36,2500,5184,0.482,1452,1897,0.765,824,2468,3292,1691,624,359,1069,1719,7784,2010/2011,68230729,4013572.29,4.16,26.58,,0,0
Los Angeles Clippers,STAPLES Center,82,19855,3015,6594,0.457,513,1519,0.338,2502,5075,0.493,1546,2187,0.707,955,2501,3456,1813,585,402,1343,1733,8089,2010/2011,53225329,3326583.06,4.29,26.24,,0,0
Memphis Grizzlies,FedEx Forum,82,19880,3200,6801,0.471,309,926,0.334,2891,5875,0.492,1486,1981,0.75,970,2391,3361,1691,771,441,1145,1705,8195,2010/2011,70241344,4131843.76,3.37,25.47,,0,0
Boston Celtics,TD Garden,82,19780,3023,6219,0.486,408,1119,0.365,2615,5100,0.513,1459,1895,0.77,639,2542,3181,1921,676,344,1195,1678,7913,2010/2011,82045867,5860419.07,6.76,27.9,,0,0
Orlando Magic,Amway Center,82,19830,2956,6411,0.461,770,2103,0.366,2186,4308,0.507,1453,2101,0.692,864,2679,3543,1636,548,384,1224,1640,8135,2010/2011,90770804,6483628.86,7.18,28.41,,0,0
Portland Trail Blazers,Rose Garden Arena,82,19805,2951,6599,0.447,518,1503,0.345,2433,5096,0.477,1476,1835,0.804,996,2230,3226,1736,660,358,1070,1585,7896,2010/2011,74584058,4972270.53,4.83,27.44,,0,0
Oklahoma City Thunder,Chesapeake Energy Arena,82,20005,3066,6609,0.464,487,1403,0.347,2579,5206,0.495,1977,2401,0.823,903,2604,3507,1672,654,487,1156,1836,8596,2010/2011,55922488,3994463.43,4.06,25.17,,0,0
Toronto Raptors,Air Canada Centre,82,19780,3144,6755,0.465,345,1091,0.316,2799,5664,0.494,1491,1976,0.755,963,2343,3306,1795,581,350,1206,1807,8124,2010/2011,69992648,3683823.58,3.55,25.68,,0,0
Dallas Mavericks,American Airlines Center,82,19705,3069,6463,0.475,645,1768,0.365,2424,4695,0.516,1437,1850,0.777,780,2618,3398,1954,557,352,1145,1575,8220,2010/2011,85409890,5338118.12,7.28,28.44,,1,1
Minnesota Timberwolves,Target Center,82,19780,3090,7014,0.441,589,1565,0.376,2501,5449,0.459,1519,1977,0.768,1085,2556,3641,1650,592,422,1398,1825,8288,2010/2011,53461123,3341320.19,2.59,23.76,,0,0
Denver Nuggets,Pepsi Center,82,19705,3145,6613,0.476,662,1704,0.388,2483,4909,0.506,1859,2429,0.765,791,2652,3443,1813,605,352,1157,1719,8811,2010/2011,68019290,4858520.71,5.58,27.21,,0,0
