g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,name,location,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
82,19755,3174,6906,.460,1256,3470,.362,1918,3436,.558,1609,2061,.781,739,2825,3564,1767,699,392,1135,1597,9213,2017/2018,Houston Rockets,Toyota Center,118271480,4380425.19,5.79,28.0,,0,0
82,19780,3349,7098,.472,901,2445,.369,2448,4653,.526,1405,1868,.752,893,2996,3889,2221,682,420,1353,1811,9004,2017/2018,Philadelphia 76ers,Wells Fargo Center,100223563,4357546.22,3.65,25.3,,0,0
82,19755,3222,7132,.452,845,2308,.366,2377,4824,.493,1372,1715,.800,835,2893,3728,1599,573,423,1109,1599,8661,2017/2018,Portland Trail Blazers,Moda Center,119265264,5963263.2,3.38,24.12,,0,0
82,19955,3500,7241,.483,837,2312,.362,2663,4929,.540,1324,1716,.772,712,2924,3636,2195,657,485,1223,1570,9161,2017/2018,New Orleans Pelicans,Smoothie King Center,118896488,5169412.52,5.39,28.09,,0,0
82,19805,3141,6975,.450,939,2492,.377,2202,4483,.491,1308,1697,.771,767,2878,3645,1842,604,373,1149,1618,8529,2017/2018,Boston Celtics,TD Garden,115075693,5479794.9,2.7,25.4,,0,0
82,19730,3202,6999,.457,696,1977,.352,2506,5022,.499,1324,1715,.772,849,2777,3626,1868,628,460,1078,1408,8424,2017/2018,San Antonio Spurs,AT&T Center,116153554,6113344.95,6.0,28.06,,0,0
82,19805,3365,7063,.476,658,1845,.357,2707,5218,.519,1592,1980,.804,848,2593,3441,1861,689,345,1021,1495,8980,2017/2018,Minnesota Timberwolves,Target Center,105179926,5843329.22,5.19,27.0,,0,0
82,19730,3182,7042,.452,844,2405,.351,2338,4637,.504,1271,1678,.757,722,2692,3414,1921,622,400,1192,1579,8479,2017/2018,Orlando Magic,Amway Center,95538311,5028332.16,3.74,25.26,,0,0
82,19930,3184,6997,.455,903,2506,.360,2281,4491,.508,1209,1601,.755,763,2801,3564,1862,620,437,1179,1648,8480,2017/2018,Miami Heat,AmericanAirlines Arena,129458084,6472904.2,4.53,26.42,,0,0
82,19855,3136,7114,.441,1041,2924,.356,2095,4190,.500,1428,1850,.772,792,2852,3644,1941,512,390,1245,1688,8741,2017/2018,Brooklyn Nets,Barclays Center,95964560,4569740.95,3.32,25.23,,0,0
82,19830,3271,7221,.453,881,2491,.354,2390,4730,.505,1421,1985,.716,1024,2671,3695,1750,743,412,1147,1653,8844,2017/2018,Oklahoma City Thunder,Chesapeake Energy Arena,133777615,7432089.72,5.35,26.71,,0,0
